,1,best_score,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
27,,0.8633948899569946,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7694156336959271}, {'clf': 'RBF SVM', 'auc': 0.7084492790285859}, {'clf': 'Gaussian Process', 'auc': 0.7812210135761869}, {'clf': 'Neural Net', 'auc': 0.7802091238721647}, {'clf': 'AdaBoost', 'auc': 0.7318492284341007}, {'clf': 'Naive Bayes', 'auc': 0.7073109031115609}, {'clf': 'Logistic Regression', 'auc': 0.74500379458639}, {'clf': 'Ridge Classifier', 'auc': 0.7609410574247407}, {'clf': 'SGD Classifier', 'auc': 0.7649042920988278}, {'clf': 'Lars', 'auc': 0.6425499620541361}, {'clf': 'Linear Regression', 'auc': 0.8480478961126571}, {'clf': 'Ridge', 'auc': 0.8526013997807573}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8472889788346404}, {'clf': 'LassoLars CV', 'auc': 0.8633948899569946}, {'clf': 'LassoLars IC', 'auc': 0.8633948899569946}, {'clf': 'ARD Regression', 'auc': 0.8513365376507295}, {'clf': 'Bayesian Ridge', 'auc': 0.8552997723248166}, {'clf': 'Huber Regressor', 'auc': 0.8339657643983472}, {'clf': 'Theil Sen Regressor', 'auc': 0.845771144278607}, {'clf': 'Poisson Regressor', 'auc': 0.8436630407285606}, {'clf': 'Tweedie Regressor', 'auc': 0.855637068892824}]",,
28,,0.8628046209629816,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7743907580740366}, {'clf': 'RBF SVM', 'auc': 0.6869887848891137}, {'clf': 'Gaussian Process', 'auc': 0.7812210135761869}, {'clf': 'Neural Net', 'auc': 0.7822329032802091}, {'clf': 'AdaBoost', 'auc': 0.7547853950586052}, {'clf': 'Naive Bayes', 'auc': 0.7147735896787251}, {'clf': 'Logistic Regression', 'auc': 0.7425162323973353}, {'clf': 'Ridge Classifier', 'auc': 0.7609410574247407}, {'clf': 'SGD Classifier', 'auc': 0.7370773252382157}, {'clf': 'Lars', 'auc': 0.7040222615734885}, {'clf': 'Linear Regression', 'auc': 0.8480478961126571}, {'clf': 'Ridge', 'auc': 0.8526013997807572}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8472889788346404}, {'clf': 'LassoLars CV', 'auc': 0.8628046209629816}, {'clf': 'LassoLars IC', 'auc': 0.8628046209629816}, {'clf': 'ARD Regression', 'auc': 0.8564803103128426}, {'clf': 'Bayesian Ridge', 'auc': 0.8552997723248167}, {'clf': 'Huber Regressor', 'auc': 0.8317733367062989}, {'clf': 'Theil Sen Regressor', 'auc': 0.8420608820305253}, {'clf': 'Poisson Regressor', 'auc': 0.8437473648705625}, {'clf': 'Tweedie Regressor', 'auc': 0.8559743654608314}]",
29,,0.8600219242769206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7743907580740366}, {'clf': 'RBF SVM', 'auc': 0.6869887848891137}, {'clf': 'Gaussian Process', 'auc': 0.7787334513871322}, {'clf': 'Neural Net', 'auc': 0.7847204654692639}, {'clf': 'AdaBoost', 'auc': 0.7452989290833966}, {'clf': 'Naive Bayes', 'auc': 0.7122860274896703}, {'clf': 'Logistic Regression', 'auc': 0.7509908086685217}, {'clf': 'Ridge Classifier', 'auc': 0.7524664811535542}, {'clf': 'SGD Classifier', 'auc': 0.6460494139472132}, {'clf': 'Lars', 'auc': 0.5107513281052365}, {'clf': 'Linear Regression', 'auc': 0.8449279028585883}, {'clf': 'Ridge', 'auc': 0.84863816510667}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8600219242769206}, {'clf': 'LassoLars CV', 'auc': 0.8482165443966607}, {'clf': 'LassoLars IC', 'auc': 0.8482165443966607}, {'clf': 'ARD Regression', 'auc': 0.8536976136267814}, {'clf': 'Bayesian Ridge', 'auc': 0.8518424825027405}, {'clf': 'Huber Regressor', 'auc': 0.8336284678303398}, {'clf': 'Theil Sen Regressor', 'auc': 0.8515051859347331}, {'clf': 'Poisson Regressor', 'auc': 0.8422295303145291}, {'clf': 'Tweedie Regressor', 'auc': 0.8548781516148073}]"
21,,0.8590100345728982,,,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7659161818028501}, {'clf': 'RBF SVM', 'auc': 0.722910869381904}, {'clf': 'Gaussian Process', 'auc': 0.7837085757652417}, {'clf': 'Neural Net', 'auc': 0.7802091238721647}, {'clf': 'AdaBoost', 'auc': 0.7498102706804958}, {'clf': 'Naive Bayes', 'auc': 0.7132979171936926}, {'clf': 'Logistic Regression', 'auc': 0.7534783708575765}, {'clf': 'Ridge Classifier', 'auc': 0.7609410574247407}, {'clf': 'SGD Classifier', 'auc': 0.7624167299097732}, {'clf': 'Lars', 'auc': 0.5502150265621047}, {'clf': 'Linear Regression', 'auc': 0.8502403238047053}, {'clf': 'Ridge', 'auc': 0.8547095033308036}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8472889788346404}, {'clf': 'LassoLars CV', 'auc': 0.8522641032127498}, {'clf': 'LassoLars IC', 'auc': 0.8502403238047053}, {'clf': 'ARD Regression', 'auc': 0.8529386963487647}, {'clf': 'Bayesian Ridge', 'auc': 0.8565646344548443}, {'clf': 'Huber Regressor', 'auc': 0.8294122607302471}, {'clf': 'Theil Sen Regressor', 'auc': 0.8590100345728982}, {'clf': 'Poisson Regressor', 'auc': 0.8396154819124715}, {'clf': 'Tweedie Regressor', 'auc': 0.8552154481828148}]",,,,,,,,
25,,0.8587570621468926,,,,,,,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7743907580740366}, {'clf': 'RBF SVM', 'auc': 0.7084492790285859}, {'clf': 'Gaussian Process', 'auc': 0.7812210135761869}, {'clf': 'Neural Net', 'auc': 0.7896955898473732}, {'clf': 'AdaBoost', 'auc': 0.7557972847626275}, {'clf': 'Naive Bayes', 'auc': 0.7073109031115609}, {'clf': 'Logistic Regression', 'auc': 0.74500379458639}, {'clf': 'Ridge Classifier', 'auc': 0.7609410574247407}, {'clf': 'SGD Classifier', 'auc': 0.5032886415380724}, {'clf': 'Lars', 'auc': 0.5179188801753942}, {'clf': 'Linear Regression', 'auc': 0.8480478961126571}, {'clf': 'Ridge', 'auc': 0.8526013997807572}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8472889788346404}, {'clf': 'LassoLars CV', 'auc': 0.8521797790707479}, {'clf': 'LassoLars IC', 'auc': 0.8522641032127498}, {'clf': 'ARD Regression', 'auc': 0.8514208617927314}, {'clf': 'Bayesian Ridge', 'auc': 0.8555527447508221}, {'clf': 'Huber Regressor', 'auc': 0.8304241504342693}, {'clf': 'Theil Sen Regressor', 'auc': 0.8435787165865587}, {'clf': 'Poisson Regressor', 'auc': 0.8424825027405346}, {'clf': 'Tweedie Regressor', 'auc': 0.8587570621468926}]",,,,
26,,0.8576608483008685,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7719031958849818}, {'clf': 'RBF SVM', 'auc': 0.7134244034066953}, {'clf': 'Gaussian Process', 'auc': 0.7812210135761869}, {'clf': 'Neural Net', 'auc': 0.7901593726283836}, {'clf': 'AdaBoost', 'auc': 0.7318492284341007}, {'clf': 'Naive Bayes', 'auc': 0.7073109031115609}, {'clf': 'Logistic Regression', 'auc': 0.74500379458639}, {'clf': 'Ridge Classifier', 'auc': 0.7609410574247407}, {'clf': 'SGD Classifier', 'auc': 0.7420524496163251}, {'clf': 'Lars', 'auc': 0.6109705708744414}, {'clf': 'Linear Regression', 'auc': 0.8480478961126571}, {'clf': 'Ridge', 'auc': 0.8525170756387555}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8472889788346404}, {'clf': 'LassoLars CV', 'auc': 0.8526857239227591}, {'clf': 'LassoLars IC', 'auc': 0.8520111307867443}, {'clf': 'ARD Regression', 'auc': 0.8513365376507295}, {'clf': 'Bayesian Ridge', 'auc': 0.8553840964668185}, {'clf': 'Huber Regressor', 'auc': 0.8299182055822582}, {'clf': 'Theil Sen Regressor', 'auc': 0.8458554684206088}, {'clf': 'Poisson Regressor', 'auc': 0.8426511510245384}, {'clf': 'Tweedie Regressor', 'auc': 0.8576608483008685}]",,,
19,,0.8574922000168648,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7659161818028501}, {'clf': 'RBF SVM', 'auc': 0.7388481322202546}, {'clf': 'Gaussian Process', 'auc': 0.7837085757652417}, {'clf': 'Neural Net', 'auc': 0.7841723585462518}, {'clf': 'AdaBoost', 'auc': 0.725862214351969}, {'clf': 'Naive Bayes', 'auc': 0.7172611518677797}, {'clf': 'Logistic Regression', 'auc': 0.7534783708575765}, {'clf': 'Ridge Classifier', 'auc': 0.7694156336959271}, {'clf': 'SGD Classifier', 'auc': 0.7793658824521461}, {'clf': 'Lars', 'auc': 0.6745509739438401}, {'clf': 'Linear Regression', 'auc': 0.8530230204907665}, {'clf': 'Ridge', 'auc': 0.8548781516148073}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8472889788346404}, {'clf': 'LassoLars CV', 'auc': 0.8574922000168648}, {'clf': 'LassoLars IC', 'auc': 0.8566489585968464}, {'clf': 'ARD Regression', 'auc': 0.852770048064761}, {'clf': 'Bayesian Ridge', 'auc': 0.8567332827388481}, {'clf': 'Huber Regressor', 'auc': 0.8284846951682266}, {'clf': 'Theil Sen Regressor', 'auc': 0.8352306265283751}, {'clf': 'Poisson Regressor', 'auc': 0.8364111645164011}, {'clf': 'Tweedie Regressor', 'auc': 0.8553840964668185}]",,,,,,,,,,
20,,0.8574922000168648,,,,,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7659161818028501}, {'clf': 'RBF SVM', 'auc': 0.722910869381904}, {'clf': 'Gaussian Process', 'auc': 0.7837085757652417}, {'clf': 'Neural Net', 'auc': 0.7802091238721647}, {'clf': 'AdaBoost', 'auc': 0.7742221097900329}, {'clf': 'Naive Bayes', 'auc': 0.7147735896787251}, {'clf': 'Logistic Regression', 'auc': 0.7534783708575765}, {'clf': 'Ridge Classifier', 'auc': 0.7694156336959271}, {'clf': 'SGD Classifier', 'auc': 0.7586221435196898}, {'clf': 'Lars', 'auc': 0.6966017370773252}, {'clf': 'Linear Regression', 'auc': 0.8542878826207942}, {'clf': 'Ridge', 'auc': 0.8547095033308036}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8472889788346404}, {'clf': 'LassoLars CV', 'auc': 0.8574922000168648}, {'clf': 'LassoLars IC', 'auc': 0.8566489585968464}, {'clf': 'ARD Regression', 'auc': 0.852770048064761}, {'clf': 'Bayesian Ridge', 'auc': 0.85681760688085}, {'clf': 'Huber Regressor', 'auc': 0.8289063158782359}, {'clf': 'Theil Sen Regressor', 'auc': 0.844000337296568}, {'clf': 'Poisson Regressor', 'auc': 0.839362509486466}, {'clf': 'Tweedie Regressor', 'auc': 0.8552997723248166}]",,,,,,,,,
15,,0.8566489585968463,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.7373724597352221}, {'clf': 'Gaussian Process', 'auc': 0.7911712623324059}, {'clf': 'Neural Net', 'auc': 0.7826966860612194}, {'clf': 'AdaBoost', 'auc': 0.7353486803271777}, {'clf': 'Naive Bayes', 'auc': 0.7251876212159541}, {'clf': 'Logistic Regression', 'auc': 0.7534783708575765}, {'clf': 'Ridge Classifier', 'auc': 0.7694156336959271}, {'clf': 'SGD Classifier', 'auc': 0.7275908592630069}, {'clf': 'Lars', 'auc': 0.7406189392022936}, {'clf': 'Linear Regression', 'auc': 0.855637068892824}, {'clf': 'Ridge', 'auc': 0.8566489585968463}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8554684206088203}, {'clf': 'LassoLars IC', 'auc': 0.8553840964668183}, {'clf': 'ARD Regression', 'auc': 0.8396998060544735}, {'clf': 'Bayesian Ridge', 'auc': 0.855637068892824}, {'clf': 'Huber Regressor', 'auc': 0.8264609157601822}, {'clf': 'Theil Sen Regressor', 'auc': 0.8436630407285607}, {'clf': 'Poisson Regressor', 'auc': 0.8316046884222953}, {'clf': 'Tweedie Regressor', 'auc': 0.8526013997807573}]",,,,,,,,,,,,,,
16,,0.8565646344548444,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.7373724597352221}, {'clf': 'Gaussian Process', 'auc': 0.7837085757652417}, {'clf': 'Neural Net', 'auc': 0.7787334513871322}, {'clf': 'AdaBoost', 'auc': 0.7438232565983641}, {'clf': 'Naive Bayes', 'auc': 0.7356859768951851}, {'clf': 'Logistic Regression', 'auc': 0.7534783708575765}, {'clf': 'Ridge Classifier', 'auc': 0.7609410574247407}, {'clf': 'SGD Classifier', 'auc': 0.7135930516906991}, {'clf': 'Lars', 'auc': 0.7208027658318577}, {'clf': 'Linear Regression', 'auc': 0.8518424825027405}, {'clf': 'Ridge', 'auc': 0.8541192343367907}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8565646344548444}, {'clf': 'LassoLars IC', 'auc': 0.8565646344548443}, {'clf': 'ARD Regression', 'auc': 0.8506619445147147}, {'clf': 'Bayesian Ridge', 'auc': 0.8555527447508222}, {'clf': 'Huber Regressor', 'auc': 0.8284846951682266}, {'clf': 'Theil Sen Regressor', 'auc': 0.8436630407285606}, {'clf': 'Poisson Regressor', 'auc': 0.8310987435702841}, {'clf': 'Tweedie Regressor', 'auc': 0.8527700480647609}]",,,,,,,,,,,,,
